CSID,CaseMasterID,csdate,cstype,PolicePersonID
54,23860,2025-10-25 12:25:36,A,534
55,27948,2024-12-19 03:01:29,A,856
56,26320,2025-09-25 13:51:29,A,1366
57,3873,2024-03-25 09:04:57,A,25
58,12010,2024-03-04 11:48:27,A,644
59,7706,2023-11-23 19:21:31,A,927
60,24793,2024-03-11 15:46:38,A,1357
61,33309,2024-07-25 10:49:52,A,316
62,8315,2023-08-19 00:55:15,A,1313
63,4877,2023-06-23 22:13:07,A,946
64,14200,2025-01-05 11:11:36,A,571
65,18785,2023-12-29 13:52:53,A,560
66,14410,2024-12-22 21:52:57,A,292
67,25352,2025-09-18 01:57:56,A,298
68,14455,2026-01-04 10:56:14,A,755
69,13281,2023-07-14 09:48:33,A,1422
70,23733,2024-04-07 09:08:33,A,618
71,2300,2025-06-06 21:18:07,A,830
72,395,2023-09-04 08:32:56,A,917
73,37217,2023-12-19 21:13:49,A,709
74,37547,2025-01-18 12:45:29,A,1428
75,11552,2023-05-08 14:25:09,A,771
76,7030,2024-08-28 05:40:01,A,1167
77,39881,2025-09-27 17:40:42,A,825
78,27426,2024-01-28 02:33:46,A,241
79,15132,2023-07-03 18:28:48,A,210
80,18289,2025-04-13 09:39:22,A,1043
81,32539,2023-12-03 15:29:56,A,33
82,34785,2023-07-14 13:15:38,A,340
83,24001,2023-12-12 12:16:31,A,414
84,30517,2024-12-31 21:07:27,A,462
85,17313,2025-03-27 13:44:50,A,1283
86,14040,2025-07-17 17:04:39,A,290
87,28751,2023-08-06 14:16:04,A,347
88,33352,2024-06-27 22:33:07,A,1473
89,13508,2024-11-19 09:48:12,A,392
90,29545,2023-03-20 18:51:48,A,748
91,13315,2023-05-20 03:50:18,A,429
92,28494,2025-09-11 09:15:47,A,556
93,25879,2025-01-27 00:15:44,A,689
94,4876,2023-07-26 14:21:29,A,1460
95,14615,2023-10-07 21:49:55,A,296
96,11261,2024-09-28 18:15:29,A,547
97,39048,2025-03-28 02:40:02,A,651
98,13833,2025-05-20 16:13:47,A,221
99,11951,2025-11-25 08:08:28,A,76
100,19262,2024-11-26 05:30:26,A,202
101,5540,2025-07-26 15:50:11,A,1403
102,27772,2024-11-30 11:18:33,A,91
103,4878,2023-10-20 10:53:58,A,111
104,20811,2023-11-23 01:32:53,A,1184
105,26646,2023-09-30 16:48:19,A,1474
106,9271,2025-11-19 12:32:12,A,379
107,31062,2023-05-16 14:40:24,A,155
108,6852,2024-07-29 06:44:26,A,1138
109,11020,2026-02-11 03:42:39,A,75
110,13223,2023-03-01 23:22:12,A,879
111,37963,2024-05-01 09:04:10,A,735
112,25424,2024-09-10 16:00:01,A,10
113,24806,2024-11-19 11:58:21,A,95
114,11526,2023-07-31 14:18:04,A,654
115,13001,2024-10-05 01:55:16,A,1289
116,27830,2024-01-03 23:45:02,A,1036
117,10013,2025-07-20 07:44:29,A,394
118,17200,2025-03-03 17:54:34,A,305
119,19454,2025-02-25 02:58:55,A,642
120,31221,2024-02-03 09:24:35,A,755
121,5249,2024-10-21 05:26:23,A,780
122,8501,2024-11-29 17:34:38,A,1472
123,15252,2025-06-16 01:34:30,A,301
124,21936,2025-06-23 16:10:50,A,17
125,31319,2025-04-10 08:53:02,A,563
126,27931,2023-06-16 06:12:44,A,725
127,1812,2024-09-21 17:45:15,A,103
128,12764,2024-04-12 03:36:50,A,165
129,9940,2024-09-20 05:27:34,A,698
130,4212,2024-06-15 14:29:13,A,46
131,12146,2024-09-14 23:37:27,A,825
132,20728,2025-01-29 06:58:34,A,241
133,655,2025-07-18 03:23:38,A,978
134,20941,2026-02-26 03:05:58,A,990
135,11627,2023-10-22 17:39:49,A,1034
136,36410,2023-10-04 23:24:19,A,143
137,36602,2023-12-28 17:49:26,A,1462
138,31967,2024-06-21 03:14:31,A,1308
139,14732,2026-02-23 22:55:37,A,1356
140,34328,2023-07-01 08:06:53,A,604
141,21336,2025-02-16 14:38:33,A,1266
142,19805,2025-08-06 19:06:23,A,90
143,16685,2023-06-08 05:42:52,A,551
144,6252,2024-04-08 06:13:48,A,686
145,23411,2023-04-26 17:02:12,A,795
146,9062,2023-07-22 05:08:22,A,795
147,14778,2024-12-29 06:03:22,A,238
148,31527,2025-04-20 03:16:30,A,464
149,21403,2025-04-07 02:52:42,A,1105
150,18921,2025-05-11 13:32:38,A,795
151,28051,2026-01-13 04:09:44,A,543
152,5538,2023-12-17 00:17:15,A,833
153,32873,2023-07-25 18:14:41,A,1257
154,9582,2023-05-03 02:58:55,A,247
155,396,2024-09-17 00:49:16,A,17
156,17476,2024-10-26 06:37:22,A,522
157,9549,2024-06-16 09:41:49,A,905
158,2311,2024-06-09 04:05:46,A,1115
159,14337,2025-02-17 00:35:30,A,473
160,3679,2025-05-22 18:46:58,A,487
161,21073,2025-08-21 16:38:42,A,423
162,27366,2026-01-05 09:10:08,A,1231
163,36420,2025-03-09 05:47:42,A,794
164,26567,2025-04-28 11:50:33,A,656
165,20402,2025-03-30 11:14:59,A,286
166,24135,2025-12-04 10:57:44,A,1292
167,32089,2026-03-23 21:12:11,A,1369
168,22144,2024-09-02 06:20:46,A,145
169,13318,2025-01-12 04:58:43,A,437
170,18871,2025-09-11 21:12:33,A,925
171,36201,2023-10-20 04:39:54,A,938
172,7130,2025-10-23 12:55:47,A,1063
173,5536,2024-09-11 16:22:35,A,1469
174,4342,2025-02-02 15:41:46,A,409
175,13566,2025-05-22 13:26:30,A,318
176,33887,2026-01-01 00:22:18,A,1161
177,36647,2023-08-12 15:29:51,A,242
178,14827,2023-09-11 21:40:07,A,996
179,33863,2025-10-19 16:50:31,A,752
180,6567,2023-06-15 22:44:02,A,887
181,9386,2024-02-12 21:06:49,A,29
182,29350,2023-05-29 09:56:30,A,680
183,28719,2024-09-21 21:39:54,A,311
184,7340,2024-03-02 15:15:23,A,826
185,994,2025-12-30 22:04:54,A,240
186,25048,2023-07-02 00:17:36,A,181
187,18492,2023-11-06 01:51:19,A,1001
188,6840,2025-02-19 23:55:40,A,66
189,12065,2025-04-22 00:52:34,A,720
190,917,2024-10-03 08:38:39,A,430
191,8939,2024-04-04 11:39:35,A,330
192,18866,2025-09-18 02:10:49,A,1398
193,17949,2023-11-01 23:21:30,A,171
194,16355,2023-04-27 00:40:59,A,1482
195,21318,2024-04-07 16:45:31,A,1280
196,1340,2025-10-20 00:29:45,A,282
197,35063,2025-10-12 22:32:12,A,471
198,25742,2025-11-11 01:41:11,A,1346
199,37900,2023-05-22 05:33:26,A,1047
200,25944,2025-03-23 15:05:38,A,666
201,38536,2023-07-12 18:09:28,A,1053
202,16882,2023-08-18 01:39:49,A,227
203,9455,2025-06-12 19:01:26,A,1288
204,22819,2026-02-01 19:06:38,A,1180
205,32032,2023-11-04 19:48:46,A,883
206,37786,2024-02-16 02:08:49,A,697
207,30783,2024-10-01 22:08:29,A,99
208,36213,2023-07-31 23:44:17,A,1324
209,10838,2023-12-26 16:54:01,A,428
210,27242,2024-09-08 06:39:36,A,653
211,31929,2026-01-30 09:28:32,A,812
212,25489,2026-02-25 06:59:53,A,410
213,33466,2024-03-21 13:59:06,A,909
214,13571,2025-10-29 05:59:32,A,1147
215,1589,2023-06-19 05:47:36,A,54
216,31748,2023-06-14 06:12:29,A,1055
217,36725,2023-12-23 17:04:08,A,298
218,7908,2024-10-21 11:26:06,A,1200
219,29700,2026-03-18 10:25:34,A,1180
220,17921,2023-09-16 20:52:07,A,1223
221,12605,2024-12-06 12:33:42,A,156
222,37744,2025-07-27 04:33:36,A,1145
223,21907,2024-04-21 19:52:32,A,90
224,22798,2024-04-24 00:42:09,A,165
225,28803,2024-08-14 15:55:15,A,68
226,3531,2025-02-24 06:43:22,A,1091
227,398,2025-04-02 01:05:18,A,38
228,23810,2025-05-12 06:38:50,A,494
229,33796,2025-12-06 13:15:27,A,1377
230,8442,2023-09-22 16:30:47,A,1045
231,11877,2025-05-25 06:18:45,A,1357
232,31007,2024-01-06 22:03:38,A,986
233,35520,2023-10-04 01:17:21,A,542
234,32160,2024-03-04 16:33:36,A,1161
235,17891,2025-08-25 16:44:04,A,442
236,31067,2024-03-03 16:39:50,A,896
237,7497,2025-02-15 11:41:37,A,1471
238,32049,2023-03-11 21:15:06,A,382
239,20767,2024-12-19 20:34:01,A,1216
240,4339,2025-05-21 19:10:55,A,1213
241,5295,2025-12-06 01:02:14,A,362
242,37752,2023-06-15 00:59:09,A,154
243,9867,2023-06-25 15:54:42,A,542
244,30003,2024-11-23 04:00:50,A,668
245,10716,2025-10-03 06:08:04,A,898
246,31936,2025-03-04 09:07:58,A,385
247,399,2025-11-20 15:00:57,A,892
248,37083,2025-12-31 07:49:45,A,489
249,25289,2026-02-10 01:13:45,A,842
250,10486,2024-12-25 13:58:37,A,1433
251,29159,2025-06-04 15:16:04,A,1256
252,19255,2023-06-25 04:20:07,A,1040
253,23255,2023-10-04 16:47:21,A,1238
254,26675,2024-05-02 08:05:50,A,617
255,35113,2025-09-13 18:37:52,A,372
256,2797,2024-07-11 07:25:06,A,489
257,22149,2025-12-15 09:06:35,A,451
258,21590,2023-07-30 02:09:25,A,55
259,11003,2024-08-29 11:47:43,A,265
260,18581,2025-07-18 05:20:02,A,192
261,32347,2025-07-08 04:15:04,A,1385
262,34650,2023-05-08 10:41:00,A,473
263,36597,2025-06-19 11:11:33,A,826
264,2944,2024-06-02 18:48:28,A,1452
265,4338,2024-08-01 20:32:43,A,835
266,37717,2025-03-13 15:48:01,A,1386
267,11496,2025-09-19 08:29:00,A,805
268,29021,2025-11-06 16:09:50,A,1005
269,33313,2024-04-02 03:35:05,A,1001
270,35495,2025-12-29 14:12:25,A,833
271,992,2024-02-16 03:43:33,A,342
272,14523,2024-07-09 16:42:54,A,1112
273,21077,2025-03-14 07:13:27,A,1224
274,22498,2024-12-29 02:08:13,A,454
275,31240,2024-06-03 03:29:23,A,384
276,21562,2025-03-11 08:43:25,A,10
277,28966,2024-09-06 15:52:46,A,707
278,27093,2024-11-14 14:15:11,A,1382
279,35909,2025-06-06 22:17:54,A,566
280,39976,2024-05-10 14:49:06,A,876
281,36577,2024-02-26 05:48:39,A,1323
282,36835,2024-10-27 14:27:29,A,1059
283,5022,2025-11-20 21:00:09,A,1194
284,19713,2026-02-02 14:40:49,A,215
285,5392,2025-10-25 19:06:49,A,490
286,24250,2025-01-08 18:32:04,A,1336
287,23688,2025-03-11 15:45:05,A,1005
288,38407,2025-11-22 08:58:04,A,378
289,5496,2023-05-06 17:57:58,A,163
290,29655,2023-07-15 22:36:02,A,736
291,5195,2024-02-16 04:00:39,A,445
292,20855,2025-02-10 10:32:12,A,1099
293,5197,2023-10-28 04:47:50,A,236
294,25851,2023-12-08 15:40:18,A,962
295,25050,2024-09-09 04:44:42,A,150
296,35125,2024-09-06 11:36:58,A,1214
297,10596,2025-11-20 00:24:37,A,701
298,18043,2025-05-30 17:19:59,A,480
299,32757,2023-03-16 10:53:30,A,986
300,10183,2023-10-10 02:26:00,A,1432
301,33932,2024-04-02 00:45:43,A,78
302,39874,2024-08-20 00:56:56,A,683
303,37129,2025-08-01 15:02:11,A,430
304,32155,2025-09-22 22:48:59,A,693
305,38298,2024-05-27 23:45:09,A,1353
306,36767,2024-03-12 16:58:24,A,349
307,2039,2023-07-02 16:03:36,A,534
308,39250,2023-11-24 18:42:37,A,1263
309,7602,2024-08-30 07:17:44,A,1350
310,28347,2024-03-31 16:42:26,A,266
311,34577,2025-01-15 20:14:25,A,86
312,5995,2025-10-10 14:06:25,A,768
313,18638,2024-02-18 17:06:12,A,483
314,37394,2025-08-28 02:15:13,A,1405
315,12050,2023-10-23 23:14:46,A,1421
316,14446,2025-05-11 10:14:50,A,513
317,35552,2025-02-03 03:24:05,A,1274
318,29263,2025-06-17 16:48:14,A,1260
319,37388,2025-08-23 16:25:16,A,1124
320,24844,2024-12-24 03:53:47,A,1196
321,21868,2026-02-15 02:41:56,A,981
322,16206,2025-06-26 14:33:35,A,290
323,20640,2024-02-05 09:01:01,A,216
324,5501,2025-02-03 15:21:22,A,935
325,21193,2025-12-29 21:26:45,A,16
326,19191,2024-10-11 21:45:32,A,1045
327,11764,2025-07-31 04:17:01,A,477
328,36093,2026-01-29 16:36:22,A,63
329,37879,2026-04-14 04:04:49,A,464
330,23527,2023-11-08 16:31:17,A,512
331,13769,2023-09-09 22:10:19,A,960
332,7355,2024-09-21 22:12:21,A,760
333,9286,2025-05-23 05:27:12,A,348
334,39131,2023-04-18 17:55:20,A,552
335,19631,2024-04-24 12:55:40,A,451
336,17960,2024-04-17 05:46:39,A,1328
337,33733,2024-10-28 08:23:36,A,510
338,37069,2025-01-12 08:37:36,A,868
339,24338,2025-04-09 00:20:45,A,693
340,31551,2024-06-21 06:55:07,A,919
341,27923,2025-03-24 19:36:39,A,1016
342,7618,2025-04-22 15:07:08,A,76
343,37149,2025-10-01 07:45:15,A,1464
344,19184,2024-11-13 01:47:40,A,560
345,24533,2023-03-29 00:37:40,A,791
346,20596,2025-04-14 18:22:43,A,709
347,28660,2025-06-12 18:30:58,A,159
348,25144,2025-02-28 15:26:32,A,1327
349,17550,2025-03-16 16:47:39,A,1357
350,316,2024-01-29 12:19:38,A,144
351,12942,2023-03-24 02:18:59,A,758
352,34641,2023-08-03 06:56:39,A,430
353,32750,2024-06-03 05:09:45,A,928
354,36230,2024-03-12 09:29:31,A,1397
355,37946,2025-09-28 13:13:24,A,1208
356,5497,2025-01-03 13:15:34,A,225
357,23958,2026-02-21 22:53:31,A,626
358,20138,2023-11-06 02:58:27,A,889
359,10496,2023-05-30 15:01:22,A,169
360,28192,2025-06-03 00:21:14,A,589
361,23152,2023-05-05 18:25:52,A,465
362,11241,2023-12-11 18:38:13,A,1484
363,23328,2025-06-13 15:08:49,A,975
364,27,2026-01-13 16:43:24,A,1110
365,24155,2024-11-15 20:11:33,A,453
366,30582,2025-09-21 23:03:23,A,1203
367,2328,2024-09-18 05:38:05,A,366
368,19376,2025-03-12 00:19:40,A,238
369,15933,2025-05-28 02:43:36,A,909
370,36044,2023-05-25 21:54:09,A,1181
371,13850,2024-02-26 15:36:12,A,663
372,18938,2024-09-18 17:05:31,A,736
373,20573,2025-03-07 18:18:27,A,1135
374,18507,2024-01-01 10:16:39,A,1073
375,3896,2024-02-15 01:06:34,A,974
376,28623,2023-12-25 05:36:25,A,640
377,38293,2024-10-10 10:59:25,A,521
378,8141,2024-10-19 22:17:14,A,1308
379,17137,2024-11-09 07:59:10,A,157
380,31074,2025-09-19 09:39:43,A,806
381,22949,2024-08-25 17:42:33,A,156
382,14287,2025-02-28 16:56:26,A,469
383,9718,2025-06-06 07:32:57,A,1130
384,5196,2023-08-07 23:25:08,A,942
385,5781,2024-11-01 09:56:37,A,721
386,26930,2023-10-06 13:46:56,A,1378
387,9186,2023-11-04 15:49:27,A,1427
388,22006,2023-08-08 15:06:03,A,1258
389,23593,2023-08-10 13:07:43,A,766
390,321,2024-07-12 07:37:33,A,52
391,18565,2023-12-15 08:45:06,A,456
392,16268,2024-06-24 18:50:16,A,471
393,6190,2023-04-20 10:03:09,A,1080
394,32158,2025-04-26 11:46:29,A,726
395,17696,2026-02-01 17:18:33,A,528
396,18126,2023-07-12 10:12:41,A,548
397,6883,2025-10-23 05:14:18,A,1186
398,13056,2024-07-25 16:04:03,A,719
399,29050,2024-12-14 16:56:27,A,142
400,4432,2025-09-25 00:08:34,A,614
401,6947,2025-03-05 12:50:02,A,917
402,35605,2024-05-15 15:09:06,A,368
403,2870,2026-01-04 04:54:45,A,1222
404,6297,2023-09-05 09:46:52,A,711
405,18946,2023-11-13 00:21:55,A,1212
406,35700,2025-09-26 08:24:11,A,592
407,13695,2026-01-12 12:14:37,A,1121
408,28398,2023-06-27 04:13:20,A,84
409,13019,2025-05-15 10:38:34,A,981
410,33068,2026-01-18 05:22:16,A,243
411,37463,2023-07-17 05:20:23,A,1285
412,8120,2023-09-26 01:34:13,A,1344
413,3287,2024-01-29 01:30:05,A,1243
414,19290,2025-06-08 18:36:08,A,679
415,119,2025-05-30 22:05:11,A,1330
416,2041,2024-02-23 23:16:34,A,806
417,23212,2024-09-14 11:43:32,A,821
418,7421,2025-06-08 02:13:55,A,248
419,31764,2025-09-02 22:11:29,A,1218
420,34460,2025-11-01 14:50:36,A,673
421,1876,2023-12-22 15:51:14,A,936
422,25971,2024-10-14 07:02:00,A,31
423,4,2025-02-05 16:53:40,A,19
424,4693,2024-08-20 00:30:47,A,646
425,22526,2024-09-18 13:10:27,A,529
426,21154,2026-01-27 12:45:14,A,667
427,17065,2025-11-10 23:40:10,A,1162
428,14772,2025-01-08 13:26:17,A,726
429,24568,2023-04-29 13:33:31,A,392
430,35839,2023-05-12 07:17:04,A,768
431,29837,2024-07-10 06:40:07,A,1213
432,39940,2024-06-30 09:46:32,A,368
433,7711,2024-09-06 15:56:54,A,381
434,32794,2025-05-29 11:39:59,A,510
435,23329,2023-09-23 16:50:11,A,1174
436,29325,2024-09-24 04:00:38,A,285
437,7,2025-10-24 03:18:43,A,145
438,30844,2025-12-26 12:47:15,A,1174
439,10654,2023-04-27 15:28:40,A,606
440,39443,2024-05-14 21:08:06,A,409
441,9311,2025-05-01 08:02:18,A,65
442,7161,2025-08-20 19:01:42,A,1185
443,6,2025-12-29 02:55:52,A,872
444,314,2024-09-18 05:09:03,A,679
445,2627,2024-01-05 21:24:28,A,861
446,5729,2024-04-19 12:41:58,A,247
447,26661,2024-06-08 06:08:13,A,566
448,34251,2025-02-01 14:50:32,A,695
449,333,2023-02-06 11:54:48,A,511
450,2869,2023-07-25 22:06:53,A,1017
451,22993,2025-05-18 04:38:08,A,791
452,20755,2023-05-17 15:36:33,A,1437
453,3345,2023-11-06 09:59:31,A,1370
454,6068,2024-03-29 14:09:44,A,1349
455,26087,2024-09-11 04:39:56,A,440
456,13295,2024-09-13 15:59:19,A,1032
457,28047,2025-03-09 03:30:37,A,988
458,18687,2026-01-31 11:20:31,A,1410
459,21801,2023-05-17 05:28:33,A,1067
460,38255,2023-08-19 17:34:59,A,1458
461,6619,2023-10-19 22:31:43,A,60
462,10153,2023-12-27 21:54:00,A,156
463,15495,2024-09-17 14:43:22,A,1092
464,18803,2025-06-01 22:41:43,A,665
465,27678,2023-09-26 22:30:09,A,1242
466,1752,2024-03-28 15:31:50,A,1372
467,16896,2024-01-25 11:39:19,A,1322
468,10707,2024-03-23 17:46:01,A,322
469,27182,2025-11-17 06:09:17,A,1261
470,13406,2023-02-21 03:31:27,A,687
471,30886,2025-04-27 06:44:42,A,44
472,22379,2025-03-19 15:27:01,A,1171
473,30462,2023-10-26 21:06:28,A,170
474,30771,2024-11-30 18:52:14,A,16
475,27656,2025-05-02 20:48:09,A,986
476,317,2025-07-30 22:16:07,A,65
477,2865,2024-12-15 01:45:58,A,1197
478,11585,2025-09-09 05:25:14,A,1298
479,3898,2023-08-15 00:08:28,A,753
480,30526,2025-04-05 00:05:51,A,198
481,8880,2025-04-26 22:05:13,A,195
482,8919,2023-09-11 03:16:03,A,1214
483,36511,2024-04-24 19:02:06,A,527
484,23463,2023-11-02 17:32:00,A,1258
485,9794,2023-12-10 14:03:11,A,1263
486,5192,2024-01-17 01:11:42,A,236
487,29922,2024-06-27 07:40:03,A,1181
488,6646,2025-03-15 02:48:41,A,1442
489,29841,2024-12-01 19:17:06,A,1251
490,19315,2025-01-02 12:54:07,A,1099
491,7359,2025-08-30 11:33:49,A,1498
492,34524,2024-11-01 05:22:48,A,1278
493,7730,2023-05-28 22:34:54,A,1398
494,5208,2023-08-04 07:54:22,A,1500
495,28409,2024-01-12 10:41:10,A,846
496,12860,2024-03-01 21:47:19,A,1214
497,21800,2024-10-01 00:31:25,A,303
498,28492,2026-02-27 01:15:43,A,259
499,35471,2024-09-06 18:45:06,A,837
500,7536,2024-10-20 06:52:59,A,822
501,18523,2025-05-28 08:35:42,A,1215
502,17657,2025-12-17 18:28:53,A,1421
503,38043,2026-02-22 05:24:35,A,30
504,14927,2024-05-22 05:53:14,A,1418
505,27329,2025-09-22 11:58:29,A,809
506,9449,2025-04-08 15:58:25,A,678
507,37536,2025-05-29 23:19:08,A,1134
508,26653,2023-09-24 00:25:28,A,484
509,38180,2024-07-10 17:57:06,A,815
510,3344,2025-02-08 06:57:05,A,1154
511,31391,2025-08-31 18:56:49,A,1287
512,38057,2025-12-03 23:05:38,A,528
513,21238,2026-02-18 00:56:08,A,1167
514,14345,2026-02-01 06:50:07,A,667
515,23633,2024-09-05 00:50:39,A,633
516,5728,2025-12-20 21:35:26,A,195
517,30022,2023-04-18 18:19:46,A,1256
518,37101,2023-11-27 08:19:39,A,281
519,28538,2025-12-06 21:29:41,A,370
520,16682,2023-05-03 21:49:21,A,772
521,22282,2023-12-16 02:27:34,A,1255
522,21174,2025-01-17 06:59:05,A,671
523,17027,2026-01-14 23:43:50,A,1487
524,13289,2023-12-28 11:55:57,A,349
525,30739,2025-07-06 00:34:18,A,1261
526,39889,2023-07-31 07:59:15,A,977
527,599,2023-11-18 07:04:52,A,113
528,33325,2023-12-13 11:05:00,A,944
529,13222,2024-01-18 23:53:41,A,525
530,3671,2026-01-14 02:47:54,A,773
531,3547,2026-03-03 09:22:36,A,1232
532,33333,2024-01-10 04:58:34,A,850
533,6531,2024-10-05 01:19:06,A,1231
534,1205,2023-05-29 20:34:32,A,1011
535,32332,2025-08-19 03:34:16,A,307
536,4328,2023-04-11 17:26:45,A,1022
537,3387,2025-02-11 23:58:50,A,458
538,13381,2025-09-01 20:25:24,A,1335
539,35504,2023-10-05 18:08:35,A,1355
540,1222,2024-10-02 22:13:47,A,49
541,3537,2023-09-18 21:17:04,A,805
542,31506,2023-11-01 15:46:56,A,562
543,36741,2024-02-03 23:42:06,A,954
544,16301,2024-04-10 05:53:57,A,905
545,1217,2023-10-18 01:50:29,A,871
546,4987,2025-06-14 13:07:59,A,195
547,39486,2023-08-26 04:54:25,A,1000
548,30564,2024-04-23 18:23:26,A,1328
549,26025,2024-08-24 01:30:17,A,959
550,32736,2025-05-07 16:10:25,A,686
551,36953,2025-09-23 19:21:54,A,951
552,38003,2023-03-04 07:29:29,A,102
553,24849,2023-11-09 23:48:43,A,969
554,8520,2024-10-03 03:47:10,A,783
555,3156,2025-11-14 21:15:13,A,174
556,35096,2023-11-13 13:49:50,A,160
557,22067,2024-03-04 20:10:10,A,585
558,6044,2024-10-16 12:12:22,A,409
559,19352,2025-05-19 17:40:13,A,704
560,30536,2025-12-19 00:01:46,A,945
561,14897,2024-02-25 07:54:15,A,1152
562,4988,2023-09-08 06:52:49,A,1006
563,36826,2023-12-23 09:01:50,A,594
564,7006,2024-05-23 11:24:09,A,1087
565,3742,2025-01-31 12:30:26,A,721
566,1772,2024-01-01 01:21:27,A,467
567,24280,2024-01-18 04:31:58,A,1436
568,4066,2024-05-18 06:03:10,A,659
569,38733,2025-09-02 12:48:06,A,235
570,5985,2025-11-07 20:16:22,A,128
571,28942,2026-03-10 21:39:20,A,855
572,7560,2026-03-22 05:36:04,A,868
573,23070,2023-08-10 21:52:56,A,198
574,39715,2024-11-23 17:28:52,A,1049
575,4069,2025-03-13 22:31:33,A,194
576,24078,2025-08-02 15:34:12,A,288
577,6133,2023-10-24 09:21:18,A,1236
578,15757,2024-06-09 23:13:08,A,915
579,22583,2024-10-21 12:51:48,A,785
580,4266,2024-12-25 16:55:44,A,866
581,30345,2025-12-10 00:49:18,A,1387
582,15454,2023-04-12 11:47:50,A,1074
583,4380,2024-06-03 21:05:05,A,991
584,30111,2025-08-05 16:53:16,A,1233
585,12697,2026-01-07 17:11:35,A,701
586,24539,2023-04-20 15:08:25,A,465
587,22457,2023-10-04 05:52:24,A,626
588,1013,2023-12-25 01:22:32,A,955
589,29190,2024-02-07 20:32:13,A,266
590,3250,2025-03-24 13:42:38,A,307
591,39556,2024-10-08 01:47:06,A,1270
592,23880,2025-04-11 22:01:29,A,602
593,597,2023-10-18 22:27:34,A,929
594,36693,2025-08-17 14:16:47,A,1343
595,22791,2025-10-27 11:51:34,A,185
596,185,2026-01-03 09:13:36,A,1305
597,5305,2024-05-12 04:16:44,A,878
598,35863,2025-04-23 08:35:34,A,593
599,37360,2025-09-28 11:05:52,A,276
600,906,2023-06-08 18:56:31,A,206
601,26009,2025-01-09 06:29:11,A,1119
602,600,2025-07-21 05:31:16,A,194
603,3540,2025-08-21 01:08:16,A,603
604,30550,2025-10-20 04:25:10,A,403
605,18544,2023-10-06 11:27:41,A,1367
606,20490,2024-10-07 05:36:32,A,140
607,17299,2024-11-24 10:37:02,A,699
608,39232,2025-07-04 23:27:24,A,877
609,15270,2025-10-31 03:57:14,A,591
610,11077,2025-03-06 23:56:22,A,914
611,4267,2025-07-30 11:48:45,A,420
612,30304,2023-05-30 14:38:11,A,973
613,3675,2023-09-26 17:07:10,A,649
614,19699,2024-01-13 09:40:30,A,1236
615,25384,2023-12-24 23:23:01,A,536
616,16035,2023-05-27 09:47:24,A,1376
617,28020,2023-08-05 19:01:17,A,56
618,2598,2024-10-20 09:48:20,A,260
619,21386,2025-09-21 19:49:37,A,946
620,3251,2026-01-18 02:19:47,A,1329
621,3157,2026-01-06 19:08:26,A,31
622,596,2023-12-29 05:10:39,A,852
623,32931,2024-03-11 02:19:37,A,479
624,25096,2025-12-02 16:52:44,A,190
625,36798,2023-09-16 08:02:02,A,147
