Casemasterid,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
16679,8.00E+17,202400003,13-09-2024,1045,278,4,2,1,3,3,21,2024-09-11 22:23:00,2024-09-13 07:23:00,2024-09-13 15:23:00,17.916198,77.521737,Complainant reported a physical assault causing serious injury to the victim at the main market.
4378,8.00E+17,202400004,20-11-2024,201,278,4,2,4,12,4,348,2024-11-19 05:31:00,2024-11-19 22:31:00,2024-11-20 02:31:00,17.904751,77.508404,Complainant reported losing money through a fraudulent online transaction.
2515,8.00E+17,202400005,25-11-2024,458,278,4,2,2,7,1,351,2024-11-24 17:16:00,2024-11-23 16:16:00,2024-11-25 08:16:00,17.907305,77.491143,Complainant reported that unknown persons broke into the premises at a residential colony and stole valuables.
25412,8.00E+17,202500001,25-03-2025,2,278,4,2,2,6,4,348,2025-03-24 00:31:00,2025-03-24 18:31:00,2025-03-25 10:31:00,17.894904,77.527831,Complainant reported that the accused snatched a gold chain from the victim near the bus stand and fled on a two-wheeler.
4213,8.00E+17,202500002,22-05-2025,495,278,4,2,2,5,1,20,2025-05-20 08:46:00,2025-05-20 18:46:00,2025-05-22 01:46:00,17.926506,77.511672,Complainant reported theft of personal property from the bus stand.
6543,8.00E+17,202500003,15-06-2025,886,278,4,2,2,6,3,349,2025-06-14 18:01:00,2025-06-13 13:01:00,2025-06-15 04:01:00,17.915822,77.517275,Complainant reported that the accused snatched a gold chain from the victim near the railway station area and fled on a two-wheeler.
15398,8.00E+17,202500004,13-07-2025,854,278,4,2,3,9,3,20,2025-07-11 16:53:00,2025-07-12 20:53:00,2025-07-13 12:53:00,17.940845,77.525358,Complainant reported being physically assaulted by the accused near a commercial complex.
34547,1.00E+17,202300001,28-01-2023,253,279,1,2,1,3,1,353,2023-01-26 14:13:00,2023-01-26 09:13:00,2023-01-28 00:13:00,17.759973,77.495372,Complainant reported a physical assault causing serious injury to the victim at the bus stand.
27950,1.00E+17,202300002,06-02-2023,274,279,1,2,2,5,1,353,2023-02-05 06:22:00,2023-02-05 06:22:00,2023-02-06 19:22:00,17.745188,77.506962,Complainant reported theft of personal property from the main market.
15961,1.00E+17,202400001,30-09-2024,108,279,1,2,2,6,3,350,2024-09-30 02:09:00,2024-09-29 17:09:00,2024-09-30 19:09:00,17.753688,77.490704,Complainant reported that the accused snatched a gold chain from the victim near a residential colony and fled on a two-wheeler.
32751,1.00E+17,202400002,19-10-2024,221,279,1,2,1,3,4,349,2024-10-18 14:48:00,2024-10-19 09:48:00,2024-10-19 13:48:00,17.754786,77.494112,Complainant reported a physical assault causing serious injury to the victim at a residential colony.
24003,1.00E+17,202500001,13-08-2025,734,279,1,1,3,10,2,19,2025-08-12 22:54:00,2025-08-12 18:54:00,2025-08-13 22:54:00,17.778123,77.513743,Complainant reported ongoing harassment for dowry by the accused and family.
24439,1.00E+17,202500002,29-12-2025,702,279,1,2,5,16,2,349,2025-12-27 16:12:00,2025-12-27 23:12:00,2025-12-29 08:12:00,17.761172,77.519726,Complainant reported an unauthorised gathering that turned disruptive near the railway station area.
30621,3.00E+17,202300001,18-02-2023,1023,279,2,2,1,3,3,347,2023-02-18 02:24:00,2023-02-18 05:24:00,2023-02-18 13:24:00,17.762026,77.496314,Complainant reported a physical assault causing serious injury to the victim at the railway station area.
39420,3.00E+17,202300002,22-02-2023,295,279,2,1,3,11,2,19,2023-02-22 05:03:00,2023-02-21 14:03:00,2023-02-22 13:03:00,17.776483,77.510316,Complainant reported an incident of sexual harassment near the main market.
2028,3.00E+17,202300003,17-03-2023,611,279,2,2,2,5,3,21,2023-03-16 18:05:00,2023-03-15 09:05:00,2023-03-17 04:05:00,17.75088,77.503024,Complainant reported theft of personal property from a residential colony.
22190,3.00E+17,202300004,15-04-2023,1127,279,2,2,2,5,2,347,2023-04-13 20:13:00,2023-04-14 10:13:00,2023-04-15 05:13:00,17.752496,77.491099,Complainant reported theft of personal property from the railway station area.
33355,3.00E+17,202300005,28-07-2023,42,279,2,2,5,15,2,348,2023-07-26 13:06:00,2023-07-27 03:06:00,2023-07-28 10:06:00,17.770514,77.524021,Complainant reported a violent altercation involving a large group near a commercial complex.
16714,3.00E+17,202300006,18-10-2023,9,279,2,2,2,5,2,346,2023-10-17 11:20:00,2023-10-17 20:20:00,2023-10-18 04:20:00,17.747266,77.510557,Complainant reported theft of personal property from a commercial complex.
20594,3.00E+17,202300007,15-11-2023,275,279,2,2,2,7,2,348,2023-11-15 09:42:00,2023-11-14 18:42:00,2023-11-15 17:42:00,17.754746,77.500056,Complainant reported that unknown persons broke into the premises at a residential colony and stole valuables.
34182,3.00E+17,202500001,18-02-2025,279,279,2,2,2,6,2,20,2025-02-17 23:23:00,2025-02-17 18:23:00,2025-02-18 13:23:00,17.755328,77.496287,Complainant reported that the accused snatched a gold chain from the victim near a highway stretch and fled on a two-wheeler.
19778,3.00E+17,202500002,16-03-2025,748,279,2,2,2,5,4,352,2025-03-16 13:54:00,2025-03-15 08:54:00,2025-03-16 17:54:00,17.761737,77.496617,Complainant reported theft of personal property from a highway stretch.
19107,3.00E+17,202500003,23-04-2025,1190,279,2,2,2,6,4,348,2025-04-23 05:57:00,2025-04-22 12:57:00,2025-04-23 14:57:00,17.763957,77.504425,Complainant reported that the accused snatched a gold chain from the victim near a commercial complex and fled on a two-wheeler.
12002,3.00E+17,202500004,26-04-2025,702,279,2,1,1,2,4,345,2025-04-25 15:58:00,2025-04-26 13:58:00,2025-04-26 23:58:00,17.758863,77.495851,Complainant stated the accused attacked the victim with intent to kill near a residential street.
30534,3.00E+17,202500005,01-10-2025,1463,279,2,2,2,5,1,348,2025-09-30 19:59:00,2025-09-30 09:59:00,2025-10-01 12:59:00,17.755484,77.512481,Complainant reported theft of personal property from the bus stand.
21649,3.00E+17,202500006,11-12-2025,1159,279,2,1,3,11,4,345,2025-12-11 11:10:00,2025-12-10 16:10:00,2025-12-11 12:10:00,17.766261,77.495151,Complainant reported an incident of sexual harassment near a residential colony.
896,4.00E+17,202300001,13-10-2023,1308,279,3,2,2,5,1,21,2023-10-11 15:49:00,2023-10-12 06:49:00,2023-10-13 14:49:00,17.762245,77.512441,Complainant reported theft of personal property from the railway station area.
34083,4.00E+17,202400001,02-03-2024,1253,279,3,1,2,8,4,19,2024-03-02 04:46:00,2024-03-02 00:46:00,2024-03-02 10:46:00,17.744558,77.510361,Complainant reported being robbed at knife/gunpoint near a commercial complex.
32538,4.00E+17,202400002,29-04-2024,152,279,3,2,5,16,1,352,2024-04-28 01:06:00,2024-04-29 01:06:00,2024-04-29 17:06:00,17.754626,77.510633,Complainant reported an unauthorised gathering that turned disruptive near the railway station area.
17794,4.00E+17,202400003,12-09-2024,178,279,3,2,2,5,1,346,2024-09-11 11:28:00,2024-09-10 12:28:00,2024-09-12 01:28:00,17.753619,77.486878,Complainant reported theft of personal property from the railway station area.
11488,4.00E+17,202500001,21-05-2025,392,279,3,2,2,5,4,349,2025-05-20 05:39:00,2025-05-20 22:39:00,2025-05-21 20:39:00,17.744977,77.505408,Complainant reported theft of personal property from the bus stand.
21301,4.00E+17,202500002,16-07-2025,461,279,3,2,2,7,4,350,2025-07-15 18:29:00,2025-07-15 05:29:00,2025-07-16 14:29:00,17.763849,77.495884,Complainant reported that unknown persons broke into the premises at the railway station area and stole valuables.
17253,4.00E+17,202500003,23-09-2025,677,279,3,2,2,7,4,349,2025-09-21 21:05:00,2025-09-23 18:05:00,2025-09-23 18:05:00,17.767638,77.488312,Complainant reported that unknown persons broke into the premises at a highway stretch and stole valuables.
21732,4.00E+17,202500004,11-11-2025,1494,279,3,1,1,4,1,345,2025-11-11 07:46:00,2025-11-11 19:46:00,2025-11-11 23:46:00,17.760591,77.492817,Complainant reported that the victim was forcibly taken away from the bus stand.
32336,8.00E+17,202300001,23-07-2023,890,279,4,2,2,6,1,353,2023-07-21 20:55:00,2023-07-22 21:55:00,2023-07-23 08:55:00,17.754734,77.505401,Complainant reported that the accused snatched a gold chain from the victim near the main market and fled on a two-wheeler.
29710,8.00E+17,202400001,27-05-2024,11,279,4,1,3,10,3,19,2024-05-27 04:23:00,2024-05-26 12:23:00,2024-05-27 20:23:00,17.752648,77.501081,Complainant reported ongoing harassment for dowry by the accused and family.
7844,8.00E+17,202500001,15-05-2025,197,279,4,2,2,5,3,350,2025-05-15 04:38:00,2025-05-14 04:38:00,2025-05-15 12:38:00,17.771315,77.499158,Complainant reported theft of personal property from a residential street.
29078,8.00E+17,202500002,28-09-2025,1172,279,4,2,2,7,3,349,2025-09-27 04:38:00,2025-09-27 21:38:00,2025-09-28 03:38:00,17.769609,77.49363,Complainant reported that unknown persons broke into the premises at a highway stretch and stole valuables.
25100,1.00E+17,202400001,24-08-2024,927,280,1,2,1,3,1,349,2024-08-24 09:31:00,2024-08-24 13:31:00,2024-08-24 13:31:00,17.754814,77.414385,Complainant reported a physical assault causing serious injury to the victim at the main market.
35916,1.00E+17,202500001,05-01-2025,1341,280,1,2,2,5,3,348,2025-01-03 17:48:00,2025-01-05 12:48:00,2025-01-05 14:48:00,17.7248,77.392,Complainant reported theft of personal property from the main market.
25341,1.00E+17,202500002,02-04-2025,1326,280,1,2,5,16,3,21,2025-04-02 10:29:00,2025-04-01 20:29:00,2025-04-02 23:29:00,17.755287,77.397939,Complainant reported an unauthorised gathering that turned disruptive near the railway station area.
1265,1.00E+17,202500003,13-05-2025,677,280,1,2,4,13,2,353,2025-05-13 09:17:00,2025-05-12 13:17:00,2025-05-13 23:17:00,17.753227,77.393929,Complainant reported being coerced over video call by persons impersonating law enforcement officials into transferring money.
33756,3.00E+17,202300001,25-02-2023,481,280,2,2,3,9,1,346,2023-02-24 08:26:00,2023-02-25 11:26:00,2023-02-25 18:26:00,17.750382,77.398412,Complainant reported being physically assaulted by the accused near the railway station area.
34194,3.00E+17,202300002,19-07-2023,197,280,2,1,2,8,3,19,2023-07-17 18:36:00,2023-07-17 17:36:00,2023-07-19 05:36:00,17.761194,77.402513,Complainant reported being robbed at knife/gunpoint near the railway station area.
39028,3.00E+17,202300003,12-11-2023,1452,280,2,1,1,2,4,19,2023-11-11 04:51:00,2023-11-11 13:51:00,2023-11-12 01:51:00,17.752892,77.39585,Complainant stated the accused attacked the victim with intent to kill near the railway station area.
11530,3.00E+17,202400001,09-01-2024,254,280,2,2,2,5,4,350,2024-01-09 07:01:00,2024-01-09 03:01:00,2024-01-09 16:01:00,17.74464,77.395643,Complainant reported theft of personal property from the railway station area.
30327,3.00E+17,202400002,23-11-2024,130,280,2,2,1,3,4,353,2024-11-23 14:34:00,2024-11-22 15:34:00,2024-11-23 19:34:00,17.753461,77.395759,Complainant reported a physical assault causing serious injury to the victim at a residential colony.
36327,3.00E+17,202400003,01-12-2024,851,280,2,2,1,3,3,348,2024-11-30 04:40:00,2024-11-30 17:40:00,2024-12-01 16:40:00,17.752414,77.420723,Complainant reported a physical assault causing serious injury to the victim at a residential street.
8067,3.00E+17,202500001,23-04-2025,1076,280,2,1,3,10,4,19,2025-04-21 09:17:00,2025-04-22 20:17:00,2025-04-23 09:17:00,17.758227,77.396709,Complainant reported ongoing harassment for dowry by the accused and family.
14081,3.00E+17,202500002,18-07-2025,764,280,2,2,2,5,2,351,2025-07-17 00:16:00,2025-07-16 20:16:00,2025-07-18 06:16:00,17.761528,77.395888,Complainant reported theft of personal property from the main market.
37261,3.00E+17,202500003,31-07-2025,414,280,2,2,2,5,4,348,2025-07-29 13:08:00,2025-07-29 12:08:00,2025-07-31 00:08:00,17.729135,77.389888,Complainant reported theft of personal property from the main market.
23894,3.00E+17,202500004,25-11-2025,954,280,2,2,2,5,4,348,2025-11-24 19:38:00,2025-11-25 07:38:00,2025-11-25 15:38:00,17.730808,77.396454,Complainant reported theft of personal property from a commercial complex.
7532,3.00E+17,202500005,30-11-2025,134,280,2,2,2,7,3,21,2025-11-28 16:04:00,2025-11-30 00:04:00,2025-11-30 12:04:00,17.7497,77.416733,Complainant reported that unknown persons broke into the premises at the railway station area and stole valuables.
27395,4.00E+17,202300001,15-01-2023,151,280,3,2,1,3,1,349,2023-01-15 07:04:00,2023-01-15 13:04:00,2023-01-15 20:04:00,17.752785,77.397778,Complainant reported a physical assault causing serious injury to the victim at a residential street.
9317,4.00E+17,202300002,17-03-2023,1488,280,3,1,3,11,1,345,2023-03-16 18:34:00,2023-03-17 19:34:00,2023-03-17 22:34:00,17.75781,77.377858,Complainant reported an incident of sexual harassment near a highway stretch.
38601,4.00E+17,202300003,24-03-2023,1266,280,3,2,2,7,4,350,2023-03-23 23:28:00,2023-03-23 18:28:00,2023-03-24 15:28:00,17.751872,77.407678,Complainant reported that unknown persons broke into the premises at a highway stretch and stole valuables.
28828,4.00E+17,202300004,26-03-2023,602,280,3,2,5,16,3,350,2023-03-24 04:20:00,2023-03-24 10:20:00,2023-03-26 04:20:00,17.73473,77.411407,Complainant reported an unauthorised gathering that turned disruptive near the bus stand.
32625,4.00E+17,202300005,28-07-2023,40,280,3,2,2,6,2,352,2023-07-26 09:11:00,2023-07-28 05:11:00,2023-07-28 09:11:00,17.752901,77.395816,Complainant reported that the accused snatched a gold chain from the victim near a residential colony and fled on a two-wheeler.
15438,4.00E+17,202300006,20-08-2023,999,280,3,2,2,5,2,353,2023-08-20 21:40:00,2023-08-20 17:40:00,2023-08-20 23:40:00,17.755844,77.422676,Complainant reported theft of personal property from a highway stretch.
25561,4.00E+17,202300007,15-09-2023,992,280,3,2,3,9,4,352,2023-09-13 17:21:00,2023-09-14 23:21:00,2023-09-15 12:21:00,17.751335,77.402451,Complainant reported being physically assaulted by the accused near a residential street.
18498,4.00E+17,202400001,20-07-2024,1090,280,3,1,1,4,3,19,2024-07-18 18:50:00,2024-07-20 13:50:00,2024-07-20 16:50:00,17.744922,77.391471,Complainant reported that the victim was forcibly taken away from a residential street.
3677,4.00E+17,202400002,27-09-2024,1167,280,3,2,5,16,4,349,2024-09-27 07:55:00,2024-09-27 06:55:00,2024-09-27 21:55:00,17.757819,77.391408,Complainant reported an unauthorised gathering that turned disruptive near the bus stand.
14203,4.00E+17,202500001,04-07-2025,1455,280,3,2,2,7,2,346,2025-07-03 13:28:00,2025-07-03 16:28:00,2025-07-04 13:28:00,17.750232,77.395192,Complainant reported that unknown persons broke into the premises at a commercial complex and stole valuables.
35921,4.00E+17,202500002,24-11-2025,1100,280,3,2,2,6,2,351,2025-11-23 23:12:00,2025-11-22 17:12:00,2025-11-24 00:12:00,17.754306,77.403306,Complainant reported that the accused snatched a gold chain from the victim near a residential colony and fled on a two-wheeler.
26325,8.00E+17,202300001,04-01-2023,601,280,4,2,2,5,3,353,2023-01-03 22:55:00,2023-01-03 08:55:00,2023-01-04 03:55:00,17.759891,77.394869,Complainant reported theft of personal property from the railway station area.
18460,8.00E+17,202300002,27-02-2023,146,280,4,2,2,6,3,346,2023-02-26 23:36:00,2023-02-27 15:36:00,2023-02-27 21:36:00,17.746817,77.390181,Complainant reported that the accused snatched a gold chain from the victim near a residential street and fled on a two-wheeler.
29880,8.00E+17,202300003,24-04-2023,562,280,4,2,5,16,1,350,2023-04-23 15:02:00,2023-04-24 00:02:00,2023-04-24 13:02:00,17.745073,77.403742,Complainant reported an unauthorised gathering that turned disruptive near the bus stand.
14806,8.00E+17,202300004,21-07-2023,685,280,4,1,1,4,2,345,2023-07-20 21:09:00,2023-07-20 20:09:00,2023-07-21 09:09:00,17.757086,77.390747,Complainant reported that the victim was forcibly taken away from the main market.
17776,8.00E+17,202300005,01-11-2023,905,280,4,2,2,5,4,20,2023-11-01 01:27:00,2023-10-31 08:27:00,2023-11-01 19:27:00,17.758212,77.413525,Complainant reported theft of personal property from a residential street.
21484,8.00E+17,202400001,05-06-2024,885,280,4,1,1,4,1,19,2024-06-04 13:03:00,2024-06-05 09:03:00,2024-06-05 16:03:00,17.75365,77.418737,Complainant reported that the victim was forcibly taken away from the bus stand.
29786,8.00E+17,202400002,22-07-2024,326,280,4,2,2,5,1,346,2024-07-21 10:52:00,2024-07-22 04:52:00,2024-07-22 20:52:00,17.741778,77.387522,Complainant reported theft of personal property from the railway station area.
2943,8.00E+17,202500001,02-01-2025,1086,280,4,2,2,6,4,348,2025-01-01 08:37:00,2025-01-01 05:37:00,2025-01-02 04:37:00,17.731729,77.414929,Complainant reported that the accused snatched a gold chain from the victim near a commercial complex and fled on a two-wheeler.
16754,8.00E+17,202500002,27-01-2025,100,280,4,1,1,2,3,345,2025-01-26 13:25:00,2025-01-25 11:25:00,2025-01-27 06:25:00,17.75606,77.399413,Complainant stated the accused attacked the victim with intent to kill near a residential colony.
6475,8.00E+17,202500003,28-12-2025,1082,280,4,2,2,5,3,346,2025-12-27 16:08:00,2025-12-27 15:08:00,2025-12-28 23:08:00,17.752316,77.388714,Complainant reported theft of personal property from a commercial complex.
21536,1.00E+17,202300001,02-03-2023,441,281,1,2,2,5,2,350,2023-03-02 07:28:00,2023-03-02 19:28:00,2023-03-02 22:28:00,18.028008,77.482293,Complainant reported theft of personal property from a residential street.
36231,1.00E+17,202300002,04-04-2023,793,281,1,2,2,5,2,352,2023-04-04 01:48:00,2023-04-02 09:48:00,2023-04-04 03:48:00,18.004644,77.488259,Complainant reported theft of personal property from the bus stand.
3670,1.00E+17,202300003,22-08-2023,1160,281,1,2,2,7,4,20,2023-08-21 16:32:00,2023-08-21 03:32:00,2023-08-22 07:32:00,18.00836,77.48324,Complainant reported that unknown persons broke into the premises at a highway stretch and stole valuables.
25730,1.00E+17,202300004,23-08-2023,338,281,1,2,2,5,3,349,2023-08-22 22:01:00,2023-08-22 23:01:00,2023-08-23 19:01:00,17.995645,77.485716,Complainant reported theft of personal property from a commercial complex.
14950,1.00E+17,202300005,24-08-2023,836,281,1,2,2,5,3,346,2023-08-22 03:56:00,2023-08-22 21:56:00,2023-08-24 03:56:00,18.02237,77.494455,Complainant reported theft of personal property from a highway stretch.
35587,1.00E+17,202400001,27-01-2024,1203,281,1,1,1,4,1,345,2024-01-27 05:01:00,2024-01-27 09:01:00,2024-01-27 16:01:00,18.019482,77.475889,Complainant reported that the victim was forcibly taken away from the main market.
8282,1.00E+17,202400002,29-07-2024,1224,281,1,2,3,9,1,347,2024-07-28 02:28:00,2024-07-28 08:28:00,2024-07-29 11:28:00,17.993654,77.479743,Complainant reported being physically assaulted by the accused near the main market.
37030,1.00E+17,202400003,17-09-2024,1090,281,1,2,2,5,2,347,2024-09-15 12:46:00,2024-09-17 02:46:00,2024-09-17 03:46:00,18.004107,77.491943,Complainant reported theft of personal property from the railway station area.
20901,1.00E+17,202400004,19-09-2024,1220,281,1,1,3,11,1,19,2024-09-17 04:25:00,2024-09-17 07:25:00,2024-09-19 03:25:00,17.986625,77.496297,Complainant reported an incident of sexual harassment near a commercial complex.
6924,1.00E+17,202400005,14-11-2024,1373,281,1,2,5,15,1,350,2024-11-13 04:57:00,2024-11-13 13:57:00,2024-11-14 00:57:00,18.00197,77.476732,Complainant reported a violent altercation involving a large group near a residential colony.
16549,1.00E+17,202400006,22-11-2024,903,281,1,2,5,16,2,346,2024-11-21 06:05:00,2024-11-21 22:05:00,2024-11-22 18:05:00,17.993429,77.464452,Complainant reported an unauthorised gathering that turned disruptive near a commercial complex.
18750,1.00E+17,202500001,09-01-2025,820,281,1,2,2,5,4,351,2025-01-09 04:33:00,2025-01-09 02:33:00,2025-01-09 04:33:00,18.011782,77.481734,Complainant reported theft of personal property from the main market.
11848,1.00E+17,202500002,14-02-2025,208,281,1,2,2,5,3,348,2025-02-12 22:40:00,2025-02-14 12:40:00,2025-02-14 18:40:00,17.99065,77.46805,Complainant reported theft of personal property from the main market.
32391,1.00E+17,202500003,31-05-2025,1147,281,1,2,1,3,4,20,2025-05-30 11:05:00,2025-05-31 06:05:00,2025-05-31 23:05:00,18.000192,77.497691,Complainant reported a physical assault causing serious injury to the victim at the main market.
19259,1.00E+17,202500004,06-06-2025,1142,281,1,2,2,5,1,348,2025-06-06 20:43:00,2025-06-05 14:43:00,2025-06-06 23:43:00,18.000954,77.46597,Complainant reported theft of personal property from a commercial complex.
31561,1.00E+17,202500005,05-07-2025,1115,281,1,2,2,5,3,351,2025-07-05 11:46:00,2025-07-05 05:46:00,2025-07-05 11:46:00,18.001093,77.478274,Complainant reported theft of personal property from the main market.
921,1.00E+17,202500006,05-11-2025,464,281,1,2,4,12,3,348,2025-11-04 21:24:00,2025-11-04 17:24:00,2025-11-05 13:24:00,17.976581,77.480458,Complainant reported losing money through a fraudulent online transaction.
8123,1.00E+17,202500007,14-12-2025,592,281,1,2,2,5,1,352,2025-12-13 01:19:00,2025-12-13 15:19:00,2025-12-14 12:19:00,18.001241,77.487963,Complainant reported theft of personal property from a highway stretch.
25706,3.00E+17,202300001,18-05-2023,255,281,2,2,2,5,1,346,2023-05-18 00:21:00,2023-05-18 04:21:00,2023-05-18 08:21:00,18.02204,77.492267,Complainant reported theft of personal property from a highway stretch.
21299,3.00E+17,202300002,02-07-2023,297,281,2,1,3,11,2,345,2023-06-30 20:56:00,2023-07-02 01:56:00,2023-07-02 20:56:00,18.000861,77.469936,Complainant reported an incident of sexual harassment near the main market.
6938,3.00E+17,202300003,04-07-2023,126,281,2,2,1,3,2,352,2023-07-02 16:48:00,2023-07-03 12:48:00,2023-07-04 13:48:00,18.029284,77.481593,Complainant reported a physical assault causing serious injury to the victim at a residential colony.
11834,3.00E+17,202300004,29-08-2023,971,281,2,2,3,9,3,346,2023-08-28 19:45:00,2023-08-29 02:45:00,2023-08-29 20:45:00,18.003689,77.48076,Complainant reported being physically assaulted by the accused near the bus stand.
32678,3.00E+17,202300005,23-11-2023,226,281,2,2,2,6,4,21,2023-11-23 08:16:00,2023-11-23 01:16:00,2023-11-23 14:16:00,18.005531,77.479557,Complainant reported that the accused snatched a gold chain from the victim near a highway stretch and fled on a two-wheeler.
