CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
32336,IT_ACT,66D,1,1
29710,BNS,310,1,1
29710,BNS,109,1,1
7844,IT_ACT,66D,1,1
29078,IT_ACT,66C,1,1
29078,BNS,310,1,1
25100,MV_ACT,185,1,1
25100,IT_ACT,66D,1,1
35916,NDPS,20,1,1
35916,MV_ACT,184,1,1
25341,NDPS,22,1,1
25341,MV_ACT,185,1,1
1265,IT_ACT,66D,1,1
33756,NDPS,20,1,1
34194,BNS,109,1,1
39028,IT_ACT,67,1,1
39028,BNS,303,1,1
11530,MV_ACT,184,1,1
30327,MV_ACT,184,1,1
30327,MV_ACT,185,1,1
36327,MV_ACT,185,1,1
8067,BNS,310,1,1
14081,MV_ACT,185,1,1
14081,MV_ACT,185,1,1
37261,IT_ACT,67,1,1
23894,MV_ACT,184,1,1
23894,NDPS,20,1,1
7532,BNS,103,1,1
7532,IT_ACT,67,1,1
27395,BNS,103,1,1
9317,NDPS,21,1,1
38601,BNS,103,1,1
28828,NDPS,22,1,1
28828,NDPS,22,1,1
32625,NDPS,22,1,1
32625,BNS,310,1,1
15438,BNS,115,1,1
15438,BNS,303,1,1
25561,MV_ACT,185,1,1
25561,MV_ACT,184,1,1
18498,IT_ACT,66C,1,1
18498,BNS,109,1,1
3677,BNS,303,1,1
3677,MV_ACT,185,1,1
14203,IT_ACT,67,1,1
14203,BNS,103,1,1
35921,MV_ACT,184,1,1
26325,BNS,109,1,1
18460,NDPS,22,1,1
18460,MV_ACT,184,1,1
29880,BNS,310,1,1
14806,MV_ACT,185,1,1
17776,BNS,303,1,1
21484,NDPS,20,1,1
21484,IT_ACT,66C,1,1
29786,IT_ACT,67,1,1
29786,IT_ACT,66C,1,1
2943,IT_ACT,66D,1,1
2943,IT_ACT,66C,1,1
16754,NDPS,20,1,1
6475,IT_ACT,67,1,1
21536,MV_ACT,185,1,1
21536,IT_ACT,66C,1,1
36231,MV_ACT,185,1,1
3670,NDPS,21,1,1
25730,BNS,115,1,1
25730,IT_ACT,67,1,1
14950,NDPS,22,1,1
35587,BNS,103,1,1
8282,IT_ACT,67,1,1
8282,IT_ACT,67,1,1
37030,IT_ACT,66D,1,1
37030,IT_ACT,66D,1,1
20901,BNS,310,1,1
20901,IT_ACT,67,1,1
6924,NDPS,22,1,1
16549,NDPS,21,1,1
18750,BNS,310,1,1
18750,NDPS,21,1,1
11848,MV_ACT,185,1,1
11848,BNS,115,1,1
32391,BNS,103,1,1
19259,MV_ACT,184,1,1
19259,IT_ACT,66D,1,1
31561,IT_ACT,66C,1,1
921,IT_ACT,67,1,1
921,BNS,109,1,1
8123,IT_ACT,66D,1,1
8123,MV_ACT,184,1,1
25706,NDPS,21,1,1
21299,BNS,109,1,1
6938,NDPS,21,1,1
11834,MV_ACT,184,1,1
32678,BNS,109,1,1
20324,NDPS,22,1,1
3876,NDPS,21,1,1
6715,IT_ACT,66D,1,1
34926,BNS,303,1,1
39549,NDPS,21,1,1
560,IT_ACT,67,1,1
560,BNS,303,1,1
13104,IT_ACT,66D,1,1
13104,IT_ACT,66C,1,1
20143,MV_ACT,184,1,1
33106,NDPS,20,1,1
10002,NDPS,20,1,1
10002,NDPS,21,1,1
23222,MV_ACT,185,1,1
23222,IT_ACT,66D,1,1
35749,NDPS,22,1,1
35749,NDPS,20,1,1
7039,BNS,109,1,1
21286,IT_ACT,67,1,1
9571,NDPS,20,1,1
9571,BNS,310,1,1
15943,MV_ACT,185,1,1
17463,BNS,115,1,1
10041,IT_ACT,67,1,1
37338,BNS,115,1,1
7638,IT_ACT,67,1,1
7638,IT_ACT,66C,1,1
34257,NDPS,22,1,1
34257,IT_ACT,66D,1,1
7175,BNS,103,1,1
7175,MV_ACT,184,1,1
6378,IT_ACT,66C,1,1
4485,MV_ACT,185,1,1
6234,NDPS,20,1,1
25954,MV_ACT,185,1,1
25954,IT_ACT,66D,1,1
35802,BNS,109,1,1
35802,NDPS,20,1,1
8750,NDPS,21,1,1
8750,MV_ACT,184,1,1
32272,NDPS,20,1,1
36449,BNS,310,1,1
36449,MV_ACT,184,1,1
18614,IT_ACT,66C,1,1
24039,BNS,103,1,1
10834,MV_ACT,184,1,1
10834,MV_ACT,185,1,1
22249,BNS,109,1,1
7321,MV_ACT,184,1,1
2667,BNS,303,1,1
2667,BNS,303,1,1
20743,BNS,109,1,1
20743,IT_ACT,67,1,1
24929,MV_ACT,185,1,1
5335,IT_ACT,66D,1,1
25311,IT_ACT,66C,1,1
25311,IT_ACT,67,1,1
28511,NDPS,21,1,1
5945,IT_ACT,67,1,1
5945,NDPS,20,1,1
6554,BNS,103,1,1
6554,BNS,303,1,1
25788,IT_ACT,67,1,1
25788,MV_ACT,185,1,1
11972,IT_ACT,66C,1,1
11972,NDPS,21,1,1
30658,IT_ACT,66D,1,1
30658,BNS,115,1,1
20795,MV_ACT,184,1,1
20795,MV_ACT,184,1,1
23887,BNS,103,1,1
23887,MV_ACT,185,1,1
19215,NDPS,21,1,1
19215,NDPS,20,1,1
8951,NDPS,20,1,1
8951,NDPS,20,1,1
22161,IT_ACT,66D,1,1
22161,NDPS,21,1,1
7993,IT_ACT,66D,1,1
7993,NDPS,22,1,1
21714,MV_ACT,184,1,1
22695,MV_ACT,184,1,1
33983,BNS,115,1,1
33983,MV_ACT,184,1,1
33603,NDPS,21,1,1
35334,MV_ACT,184,1,1
27458,BNS,310,1,1
27458,NDPS,20,1,1
33886,NDPS,21,1,1
33886,MV_ACT,184,1,1
7902,MV_ACT,185,1,1
7902,NDPS,21,1,1
27640,IT_ACT,67,1,1
27640,NDPS,20,1,1
38409,BNS,109,1,1
3875,NDPS,20,1,1
16827,MV_ACT,184,1,1
16827,IT_ACT,67,1,1
15230,NDPS,21,1,1
15230,NDPS,21,1,1
39126,IT_ACT,67,1,1
29079,MV_ACT,184,1,1
17233,NDPS,20,1,1
19410,BNS,115,1,1
19410,NDPS,20,1,1
18903,IT_ACT,66D,1,1
19909,NDPS,21,1,1
15813,MV_ACT,185,1,1
15813,NDPS,20,1,1
24996,BNS,115,1,1
20081,MV_ACT,184,1,1
20081,MV_ACT,184,1,1
3256,IT_ACT,67,1,1
1588,IT_ACT,67,1,1
23644,IT_ACT,66C,1,1
23644,NDPS,21,1,1
30218,BNS,103,1,1
30218,MV_ACT,185,1,1
5034,IT_ACT,67,1,1
32656,MV_ACT,185,1,1
32656,NDPS,20,1,1
29420,NDPS,20,1,1
18783,NDPS,22,1,1
18783,NDPS,22,1,1
7416,NDPS,20,1,1
7416,NDPS,21,1,1
23297,BNS,310,1,1
23297,BNS,109,1,1
23491,NDPS,22,1,1
23491,IT_ACT,67,1,1
30398,MV_ACT,184,1,1
7118,IT_ACT,66C,1,1
17756,MV_ACT,185,1,1
21945,NDPS,20,1,1
21945,NDPS,22,1,1
25441,IT_ACT,67,1,1
23860,MV_ACT,185,1,1
23860,NDPS,21,1,1
29745,BNS,103,1,1
29745,NDPS,22,1,1
32578,NDPS,20,1,1
36414,IT_ACT,67,1,1
5247,MV_ACT,185,1,1
5247,MV_ACT,184,1,1
19898,IT_ACT,66C,1,1
27948,NDPS,21,1,1
26320,IT_ACT,66C,1,1
26320,MV_ACT,185,1,1
34237,IT_ACT,67,1,1
35623,NDPS,22,1,1
35623,MV_ACT,184,1,1
39787,NDPS,20,1,1
39787,NDPS,21,1,1
2170,NDPS,21,1,1
35739,BNS,303,1,1
35739,MV_ACT,184,1,1
14237,IT_ACT,66C,1,1
14237,MV_ACT,185,1,1
3873,MV_ACT,184,1,1
31165,BNS,115,1,1
31165,IT_ACT,66D,1,1
28322,BNS,103,1,1
35946,IT_ACT,67,1,1
38782,IT_ACT,66C,1,1
8421,BNS,109,1,1
12010,NDPS,22,1,1
26280,IT_ACT,66D,1,1
26280,IT_ACT,66C,1,1
21196,MV_ACT,185,1,1
803,BNS,310,1,1
7332,NDPS,21,1,1
29437,NDPS,20,1,1
6232,NDPS,22,1,1
6232,IT_ACT,66D,1,1
32518,BNS,115,1,1
32518,NDPS,20,1,1
31679,BNS,115,1,1
31679,IT_ACT,67,1,1
7997,NDPS,21,1,1
20516,IT_ACT,66C,1,1
20516,IT_ACT,66C,1,1
37260,BNS,103,1,1
37260,BNS,103,1,1
38738,BNS,103,1,1
31778,BNS,115,1,1
3878,NDPS,22,1,1
3878,IT_ACT,66C,1,1
7706,BNS,103,1,1
7706,IT_ACT,67,1,1
24793,NDPS,21,1,1
24793,NDPS,22,1,1
33309,NDPS,22,1,1
35085,BNS,115,1,1
8315,IT_ACT,66C,1,1
4877,IT_ACT,66C,1,1
25367,MV_ACT,185,1,1
25367,IT_ACT,66D,1,1
1923,NDPS,21,1,1
1923,BNS,303,1,1
14200,MV_ACT,185,1,1
38021,MV_ACT,185,1,1
34698,IT_ACT,67,1,1
30982,BNS,103,1,1
30982,NDPS,20,1,1
1979,IT_ACT,66C,1,1
1979,MV_ACT,184,1,1
32740,BNS,115,1,1
9064,BNS,303,1,1
24082,MV_ACT,184,1,1
18785,BNS,115,1,1
18785,BNS,115,1,1
11017,NDPS,21,1,1
11017,BNS,115,1,1
34722,MV_ACT,184,1,1
34722,NDPS,22,1,1
14948,BNS,310,1,1
13569,BNS,103,1,1
28639,MV_ACT,185,1,1
28639,NDPS,21,1,1
23133,MV_ACT,185,1,1
23133,MV_ACT,184,1,1
8276,NDPS,20,1,1
8276,NDPS,21,1,1
31696,IT_ACT,66D,1,1
14410,MV_ACT,185,1,1
14410,NDPS,20,1,1
25352,BNS,115,1,1
14455,MV_ACT,185,1,1
34332,IT_ACT,67,1,1
13281,NDPS,20,1,1
29077,BNS,109,1,1
29077,NDPS,21,1,1
39273,MV_ACT,185,1,1
39273,MV_ACT,185,1,1
23733,NDPS,21,1,1
23733,MV_ACT,184,1,1
6453,NDPS,22,1,1
6453,MV_ACT,185,1,1
14967,BNS,310,1,1
14967,BNS,103,1,1
2394,IT_ACT,66C,1,1
2394,NDPS,20,1,1
2300,NDPS,20,1,1
2300,NDPS,20,1,1
33514,MV_ACT,185,1,1
6800,BNS,109,1,1
395,MV_ACT,184,1,1
37217,BNS,303,1,1
25249,NDPS,21,1,1
20391,NDPS,22,1,1
30308,IT_ACT,67,1,1
17824,NDPS,20,1,1
17824,IT_ACT,66C,1,1
9580,IT_ACT,66C,1,1
9580,IT_ACT,66C,1,1
20482,IT_ACT,67,1,1
37547,IT_ACT,67,1,1
37547,NDPS,22,1,1
25501,NDPS,20,1,1
20845,NDPS,20,1,1
11552,BNS,303,1,1
19455,BNS,303,1,1
19455,MV_ACT,185,1,1
23546,IT_ACT,66C,1,1
23546,IT_ACT,66C,1,1
24993,NDPS,20,1,1
24993,MV_ACT,185,1,1
7030,NDPS,20,1,1
7030,MV_ACT,184,1,1
26594,NDPS,21,1,1
26594,MV_ACT,184,1,1
19648,MV_ACT,184,1,1
19648,MV_ACT,185,1,1
10315,MV_ACT,185,1,1
20791,NDPS,20,1,1
20791,NDPS,21,1,1
14465,IT_ACT,67,1,1
15358,BNS,303,1,1
39881,IT_ACT,66D,1,1
39881,MV_ACT,184,1,1
13779,BNS,303,1,1
13779,NDPS,22,1,1
35537,MV_ACT,184,1,1
35537,BNS,103,1,1
1587,NDPS,22,1,1
1587,IT_ACT,66D,1,1
8156,BNS,103,1,1
8156,NDPS,20,1,1
27905,BNS,303,1,1
20329,BNS,109,1,1
13110,MV_ACT,184,1,1
14043,IT_ACT,66D,1,1
14043,BNS,103,1,1
1662,MV_ACT,184,1,1
1662,BNS,115,1,1
7051,IT_ACT,66C,1,1
31070,NDPS,20,1,1
31070,BNS,109,1,1
27419,IT_ACT,66C,1,1
19368,MV_ACT,185,1,1
1924,NDPS,20,1,1
1924,NDPS,22,1,1
39411,NDPS,20,1,1
39411,BNS,115,1,1
27426,MV_ACT,184,1,1
27426,MV_ACT,185,1,1
28563,NDPS,20,1,1
27043,NDPS,20,1,1
918,NDPS,20,1,1
16169,MV_ACT,184,1,1
16169,BNS,103,1,1
11428,MV_ACT,184,1,1
11428,MV_ACT,184,1,1
12533,IT_ACT,66D,1,1
12533,NDPS,20,1,1
15132,NDPS,21,1,1
15132,MV_ACT,184,1,1
27362,IT_ACT,66C,1,1
914,BNS,310,1,1
914,NDPS,22,1,1
8963,NDPS,22,1,1
31275,IT_ACT,66D,1,1
13162,MV_ACT,185,1,1
3683,IT_ACT,66C,1,1
3683,IT_ACT,67,1,1
26566,NDPS,22,1,1
39338,MV_ACT,184,1,1
18289,BNS,103,1,1
18289,MV_ACT,185,1,1
15452,NDPS,21,1,1
15452,MV_ACT,185,1,1
17453,IT_ACT,66C,1,1
15998,BNS,109,1,1
15998,NDPS,22,1,1
36650,MV_ACT,184,1,1
898,IT_ACT,66C,1,1
27968,NDPS,20,1,1
32539,MV_ACT,185,1,1
31548,NDPS,21,1,1
2795,IT_ACT,66C,1,1
23612,MV_ACT,184,1,1
26514,IT_ACT,66C,1,1
26514,BNS,109,1,1
32213,BNS,115,1,1
1269,NDPS,20,1,1
1269,IT_ACT,66C,1,1
24023,MV_ACT,184,1,1
24023,IT_ACT,67,1,1
29294,BNS,109,1,1
10968,BNS,115,1,1
10565,NDPS,22,1,1
37654,NDPS,20,1,1
37654,MV_ACT,184,1,1
34785,MV_ACT,184,1,1
35126,BNS,103,1,1
35126,BNS,103,1,1
24001,NDPS,21,1,1
24001,IT_ACT,66C,1,1
26717,BNS,303,1,1
26717,NDPS,21,1,1
30517,MV_ACT,184,1,1
17313,NDPS,22,1,1
303,IT_ACT,67,1,1
303,MV_ACT,184,1,1
17256,BNS,115,1,1
17256,NDPS,20,1,1
14040,BNS,303,1,1
14040,BNS,310,1,1
28751,NDPS,20,1,1
28751,IT_ACT,66D,1,1
31775,IT_ACT,66D,1,1
31775,IT_ACT,67,1,1
33352,BNS,303,1,1
33352,MV_ACT,185,1,1
13508,IT_ACT,66C,1,1
29545,MV_ACT,185,1,1
13315,IT_ACT,66C,1,1
31250,BNS,310,1,1
28390,NDPS,20,1,1
34080,NDPS,21,1,1
8867,NDPS,22,1,1
8867,MV_ACT,185,1,1
28494,IT_ACT,67,1,1
35186,MV_ACT,185,1,1
35186,IT_ACT,66C,1,1
3942,NDPS,21,1,1
8494,MV_ACT,184,1,1
8494,NDPS,21,1,1
39785,MV_ACT,185,1,1
29232,BNS,103,1,1
37601,NDPS,20,1,1
37601,MV_ACT,185,1,1
161,BNS,109,1,1
26683,BNS,303,1,1
26683,IT_ACT,66D,1,1
25982,IT_ACT,66D,1,1
25982,MV_ACT,184,1,1
24254,IT_ACT,66D,1,1
26475,MV_ACT,184,1,1
26475,BNS,103,1,1
25879,NDPS,22,1,1
39235,IT_ACT,67,1,1
39235,IT_ACT,67,1,1
25910,MV_ACT,184,1,1
4876,MV_ACT,185,1,1
4876,NDPS,22,1,1
14615,BNS,109,1,1
6665,NDPS,22,1,1
6665,IT_ACT,66C,1,1
31713,IT_ACT,66D,1,1
27444,NDPS,22,1,1
804,MV_ACT,185,1,1
11261,IT_ACT,67,1,1
10889,NDPS,22,1,1
26227,IT_ACT,67,1,1
26227,MV_ACT,184,1,1
39048,MV_ACT,184,1,1
39048,BNS,310,1,1
1270,IT_ACT,67,1,1
2743,BNS,303,1,1
9809,NDPS,21,1,1
9809,BNS,303,1,1
11750,MV_ACT,184,1,1
18417,MV_ACT,185,1,1
18417,IT_ACT,67,1,1
32508,IT_ACT,66D,1,1
32508,BNS,109,1,1
36010,BNS,109,1,1
36010,MV_ACT,184,1,1
897,NDPS,21,1,1
28729,IT_ACT,66C,1,1
28729,MV_ACT,185,1,1
30710,IT_ACT,66C,1,1
13833,NDPS,21,1,1
35624,BNS,310,1,1
29584,NDPS,21,1,1
37843,IT_ACT,66D,1,1
37843,MV_ACT,185,1,1
11951,NDPS,20,1,1
11951,IT_ACT,66C,1,1
14534,IT_ACT,66D,1,1
14083,BNS,109,1,1
14083,NDPS,22,1,1
8023,IT_ACT,66D,1,1
8023,IT_ACT,67,1,1
27130,NDPS,22,1,1
16086,IT_ACT,66C,1,1
19262,MV_ACT,184,1,1
19262,IT_ACT,66D,1,1
5540,IT_ACT,66C,1,1
10705,IT_ACT,66C,1,1
22612,NDPS,22,1,1
22612,NDPS,21,1,1
21038,MV_ACT,185,1,1
21038,MV_ACT,184,1,1
22007,BNS,310,1,1
2666,NDPS,22,1,1
20077,MV_ACT,184,1,1
563,BNS,310,1,1
19193,IT_ACT,66C,1,1
27772,NDPS,20,1,1
27772,IT_ACT,67,1,1
34035,IT_ACT,66C,1,1
34035,BNS,103,1,1
19692,NDPS,20,1,1
24548,MV_ACT,184,1,1
24548,MV_ACT,185,1,1
4878,BNS,303,1,1
4878,NDPS,21,1,1
26910,MV_ACT,184,1,1
3868,NDPS,22,1,1
3868,BNS,115,1,1
23299,BNS,109,1,1
14094,NDPS,20,1,1
14094,IT_ACT,67,1,1
10688,NDPS,20,1,1
20811,BNS,310,1,1
20811,MV_ACT,184,1,1
13545,NDPS,20,1,1
10680,BNS,103,1,1
10680,BNS,109,1,1
7441,MV_ACT,185,1,1
26646,MV_ACT,185,1,1
35812,IT_ACT,66C,1,1
35812,MV_ACT,185,1,1
39945,IT_ACT,66D,1,1
39945,IT_ACT,67,1,1
34441,BNS,103,1,1
34441,IT_ACT,66D,1,1
30082,NDPS,22,1,1
30082,NDPS,20,1,1
22717,BNS,303,1,1
22717,MV_ACT,185,1,1
9271,MV_ACT,185,1,1
27711,NDPS,20,1,1
27711,BNS,115,1,1
31062,IT_ACT,66D,1,1
31062,IT_ACT,67,1,1
26055,NDPS,20,1,1
26055,IT_ACT,67,1,1
27926,BNS,303,1,1
33684,IT_ACT,66C,1,1
33684,IT_ACT,66C,1,1
6852,IT_ACT,66C,1,1
12023,IT_ACT,66C,1,1
11020,MV_ACT,185,1,1
11020,BNS,115,1,1
36265,BNS,103,1,1
36265,MV_ACT,185,1,1
13223,IT_ACT,67,1,1
13223,BNS,310,1,1
37464,IT_ACT,66C,1,1
37464,NDPS,21,1,1
12563,IT_ACT,66D,1,1
19609,BNS,115,1,1
37963,MV_ACT,185,1,1
25424,NDPS,20,1,1
25424,BNS,109,1,1
24806,IT_ACT,66C,1,1
18175,BNS,103,1,1
9438,BNS,303,1,1
25434,BNS,310,1,1
25434,IT_ACT,67,1,1
31946,MV_ACT,184,1,1
6832,MV_ACT,184,1,1
31295,BNS,103,1,1
10652,NDPS,20,1,1
10652,MV_ACT,184,1,1
36541,BNS,115,1,1
36541,IT_ACT,66D,1,1
14899,NDPS,22,1,1
14899,MV_ACT,184,1,1
32128,IT_ACT,66D,1,1
32128,BNS,115,1,1
530,BNS,310,1,1
530,BNS,310,1,1
9724,IT_ACT,66D,1,1
19239,IT_ACT,66D,1,1
11526,NDPS,20,1,1
12107,NDPS,22,1,1
1390,IT_ACT,67,1,1
13001,NDPS,22,1,1
2668,NDPS,22,1,1
15695,NDPS,20,1,1
15695,MV_ACT,184,1,1
718,NDPS,20,1,1
718,BNS,109,1,1
13232,IT_ACT,66D,1,1
13232,BNS,109,1,1
27830,MV_ACT,184,1,1
27830,IT_ACT,67,1,1
7251,MV_ACT,185,1,1
7251,MV_ACT,184,1,1
5994,BNS,103,1,1
16302,IT_ACT,66D,1,1
16603,BNS,310,1,1
16603,IT_ACT,66C,1,1
25035,MV_ACT,184,1,1
25035,IT_ACT,66D,1,1
33219,IT_ACT,66D,1,1
10013,MV_ACT,184,1,1
10013,NDPS,20,1,1
25878,IT_ACT,66C,1,1
25878,MV_ACT,184,1,1
806,BNS,109,1,1
1590,BNS,310,1,1
1590,MV_ACT,184,1,1
12746,MV_ACT,185,1,1
12746,BNS,109,1,1
29964,BNS,115,1,1
29964,MV_ACT,185,1,1
34376,IT_ACT,67,1,1
17200,MV_ACT,184,1,1
17200,IT_ACT,66C,1,1
6440,IT_ACT,67,1,1
33785,NDPS,22,1,1
39475,MV_ACT,185,1,1
9740,IT_ACT,66D,1,1
9740,IT_ACT,67,1,1
13923,NDPS,20,1,1
8631,MV_ACT,185,1,1
8631,BNS,303,1,1
13653,BNS,310,1,1
19454,BNS,303,1,1
19454,MV_ACT,185,1,1
1263,IT_ACT,66D,1,1
12228,BNS,310,1,1
12228,BNS,310,1,1
2781,MV_ACT,184,1,1
31997,MV_ACT,185,1,1
31997,NDPS,21,1,1
31221,NDPS,22,1,1
23779,BNS,303,1,1
3487,MV_ACT,185,1,1
3487,IT_ACT,66C,1,1
8542,IT_ACT,66D,1,1
8542,MV_ACT,184,1,1
5249,MV_ACT,185,1,1
5249,MV_ACT,185,1,1
8501,NDPS,22,1,1
8501,NDPS,22,1,1
3680,IT_ACT,66D,1,1
3680,NDPS,20,1,1
895,BNS,310,1,1
895,NDPS,20,1,1
29777,MV_ACT,185,1,1
29777,BNS,303,1,1
24240,IT_ACT,66D,1,1
15252,NDPS,20,1,1
21936,BNS,310,1,1
27264,IT_ACT,67,1,1
27264,BNS,303,1,1
26012,BNS,310,1,1
32003,BNS,303,1,1
14560,MV_ACT,185,1,1
30757,MV_ACT,184,1,1
30757,IT_ACT,66C,1,1
31319,MV_ACT,185,1,1
31319,IT_ACT,66D,1,1
551,IT_ACT,67,1,1
2169,IT_ACT,66C,1,1
18779,BNS,115,1,1
7301,MV_ACT,185,1,1
7301,IT_ACT,66C,1,1
14491,IT_ACT,67,1,1
27931,BNS,310,1,1
27931,IT_ACT,66D,1,1
26801,IT_ACT,67,1,1
26801,MV_ACT,185,1,1
19976,IT_ACT,66C,1,1
18798,MV_ACT,185,1,1
29177,IT_ACT,67,1,1
1812,BNS,310,1,1
12511,NDPS,22,1,1
12511,IT_ACT,66D,1,1
28849,MV_ACT,184,1,1
28849,BNS,303,1,1
32346,IT_ACT,67,1,1
15708,MV_ACT,184,1,1
11122,NDPS,21,1,1
11122,MV_ACT,185,1,1
30313,MV_ACT,184,1,1
22906,MV_ACT,185,1,1
22906,MV_ACT,184,1,1
8509,IT_ACT,66D,1,1
8509,NDPS,20,1,1
37665,MV_ACT,185,1,1
12764,BNS,303,1,1
12764,MV_ACT,184,1,1
8329,NDPS,20,1,1
1993,NDPS,21,1,1
4943,MV_ACT,185,1,1
4943,MV_ACT,185,1,1
9800,IT_ACT,67,1,1
8770,IT_ACT,67,1,1
9020,IT_ACT,67,1,1
9940,MV_ACT,184,1,1
9940,MV_ACT,184,1,1
7517,BNS,109,1,1
7517,MV_ACT,185,1,1
21405,BNS,109,1,1
21405,NDPS,20,1,1
6871,MV_ACT,185,1,1
29907,IT_ACT,67,1,1
29907,MV_ACT,184,1,1
11055,MV_ACT,185,1,1
11055,MV_ACT,184,1,1
12769,IT_ACT,66C,1,1
12769,NDPS,20,1,1
6316,IT_ACT,67,1,1
34109,MV_ACT,184,1,1
22135,BNS,103,1,1
29650,BNS,310,1,1
13591,BNS,310,1,1
13591,BNS,303,1,1
4212,MV_ACT,184,1,1
12146,IT_ACT,66C,1,1
32618,MV_ACT,185,1,1
32950,MV_ACT,185,1,1
32950,BNS,303,1,1
25200,NDPS,21,1,1
8447,BNS,303,1,1
8447,IT_ACT,66D,1,1
39305,NDPS,22,1,1
39305,IT_ACT,67,1,1
3678,BNS,115,1,1
22527,MV_ACT,184,1,1
39834,NDPS,21,1,1
39834,IT_ACT,67,1,1
6645,BNS,303,1,1
7237,BNS,115,1,1
7237,NDPS,22,1,1
32534,NDPS,20,1,1
32534,IT_ACT,67,1,1
35803,MV_ACT,184,1,1
7880,BNS,303,1,1
2027,IT_ACT,66C,1,1
2027,IT_ACT,66C,1,1
20728,IT_ACT,66D,1,1
655,MV_ACT,185,1,1
655,NDPS,20,1,1
1267,MV_ACT,184,1,1
10833,IT_ACT,67,1,1
11032,IT_ACT,67,1,1
11032,MV_ACT,185,1,1
993,IT_ACT,66D,1,1
20941,NDPS,22,1,1
9516,BNS,310,1,1
11627,BNS,303,1,1
36410,NDPS,22,1,1
36602,NDPS,22,1,1
36602,MV_ACT,184,1,1
31967,NDPS,22,1,1
31967,MV_ACT,185,1,1
21731,IT_ACT,66D,1,1
21731,NDPS,22,1,1
18676,IT_ACT,66D,1,1
2026,MV_ACT,184,1,1
2026,IT_ACT,66C,1,1
30937,BNS,310,1,1
18276,NDPS,21,1,1
9301,MV_ACT,185,1,1
14732,MV_ACT,185,1,1
34328,IT_ACT,67,1,1
34328,IT_ACT,66D,1,1
36069,BNS,115,1,1
36069,BNS,115,1,1
24042,IT_ACT,66D,1,1
25731,NDPS,22,1,1
26907,MV_ACT,184,1,1
26907,MV_ACT,185,1,1
11463,MV_ACT,185,1,1
4482,IT_ACT,67,1,1
27243,MV_ACT,185,1,1
21336,NDPS,21,1,1
21336,IT_ACT,66D,1,1
38294,BNS,115,1,1
38294,IT_ACT,66D,1,1
19805,NDPS,22,1,1
19805,NDPS,21,1,1
33553,MV_ACT,185,1,1
16685,IT_ACT,67,1,1
16685,BNS,109,1,1
17123,MV_ACT,185,1,1
17123,BNS,303,1,1
6252,MV_ACT,184,1,1
23339,MV_ACT,184,1,1
23339,IT_ACT,67,1,1
37448,BNS,109,1,1
37448,NDPS,20,1,1
4214,NDPS,20,1,1
30523,IT_ACT,66C,1,1
30523,MV_ACT,184,1,1
39567,IT_ACT,67,1,1
23411,NDPS,21,1,1
34859,NDPS,22,1,1
34859,IT_ACT,67,1,1
9062,NDPS,21,1,1
9062,IT_ACT,66C,1,1
